"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.086020339E2,6.491170562E1,2.553349765E1,1.237075896E1,1.419999957E0,1.993000031E2,3.790092468E0,2.500000000E0
1.096025404E2,6.491169387E1,2.553349026E1,1.224361296E1,1.500000000E0,1.963999939E2,3.790092468E0,2.500000000E0
1.106019561E2,6.491168126E1,2.553348400E1,1.218458122E1,1.480000019E0,1.951999969E2,3.790092468E0,2.500000000E0
1.116026312E2,6.491166789E1,2.553347884E1,1.245092702E1,1.490000010E0,1.953000031E2,3.790092468E0,2.500000000E0
1.126022041E2,6.491165520E1,2.553347182E1,1.228136066E1,1.450000048E0,1.976000061E2,3.790092468E0,2.500000000E0
1.136027712E2,6.491164354E1,2.553346172E1,1.207828742E1,1.500000000E0,1.993000031E2,3.790092468E0,2.500000000E0
1.146026920E2,6.491163183E1,2.553345130E1,1.211660823E1,1.450000048E0,1.983000031E2,3.790092468E0,2.500000000E0
1.156022488E2,6.491161942E1,2.553344188E1,1.240413479E1,1.470000029E0,1.991999969E2,3.790092468E0,2.500000000E0
1.166022286E2,6.491160763E1,2.553343082E1,1.225074420E1,1.429999948E0,2.008000031E2,3.790092468E0,2.500000000E0
1.176019745E2,6.491159532E1,2.553341992E1,1.208972371E1,1.440000057E0,2.006999969E2,3.790092468E0,2.500000000E0
1.186022952E2,6.491158261E1,2.553340961E1,1.178679602E1,1.480000019E0,1.983999939E2,3.790092468E0,2.500000000E0
1.196026331E2,6.491157011E1,2.553339695E1,1.142716722E1,1.370000005E0,2.018999939E2,3.790092468E0,2.500000000E0
1.206021143E2,6.491155774E1,2.553338280E1,1.129611544E1,1.429999948E0,2.038000031E2,3.790092468E0,2.500000000E0
1.216022556E2,6.491154507E1,2.553337139E1,1.140017038E1,1.409999967E0,2.000000000E2,3.790092468E0,2.500000000E0
1.226020664E2,6.491153245E1,2.553336205E1,1.119050434E1,1.389999986E0,1.975000000E2,3.790092468E0,2.500000000E0
1.236023759E2,6.491151956E1,2.553335137E1,1.132086511E1,1.440000057E0,2.013999939E2,3.790092468E0,2.500000000E0
1.246025382E2,6.491150722E1,2.553333980E1,1.123174411E1,1.389999986E0,2.008000031E2,3.790092468E0,2.500000000E0
1.256021501E2,6.491149484E1,2.553332910E1,1.123863124E1,1.399999976E0,2.006999969E2,3.790092468E0,2.500000000E0
1.266021623E2,6.491148246E1,2.553331722E1,1.098801123E1,1.419999957E0,2.030000000E2,3.790092468E0,2.500000000E0
1.276021940E2,6.491146999E1,2.553330397E1,1.066512572E1,1.440000057E0,2.025000000E2,3.790092468E0,2.500000000E0
1.286024472E2,6.491145744E1,2.553329188E1,1.076863156E1,1.399999976E0,2.015000000E2,3.790092468E0,2.500000000E0
1.296022572E2,6.491144606E1,2.553328096E1,1.054108362E1,1.379999995E0,1.996999969E2,3.790092468E0,2.500000000E0
1.306024874E2,6.491143416E1,2.553327106E1,1.041198474E1,1.409999967E0,1.991999969E2,3.790092468E0,2.500000000E0
1.316025566E2,6.491142270E1,2.553326019E1,1.068040839E1,1.379999995E0,2.008999939E2,3.790092468E0,2.500000000E0
1.326020718E2,6.491141157E1,2.553324703E1,1.095499726E1,1.379999995E0,2.035000000E2,3.790092468E0,2.500000000E0
1.336019924E2,6.491139909E1,2.553323395E1,1.138638418E1,1.460000038E0,2.031999969E2,3.790092468E0,2.500000000E0
